name,launch_date,launch_vehicle,orbit_type,application,details_url,pdf_brochure_url,description,launch_vehicle_raw
RISAT-2BR1,2019-12-11,PSLV-C48,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",https://www.isro.gov.in/RISAT_2BR1.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC48/PSLV-C48RISAT-2BR1Mission.pdf,unknown,PSLV-C48/RISAT-2BR1
Cartosat-3,2019-11-27,PSLV-C47,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/Cartosat_3.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC47/PSLV_C47LaunchKit_cdr.pdf,unknown,"PSLV-C47 /
                                          Cartosat-3 Mission"
Chandrayaan2,2019-07-22,"GSLV-Mk
                                          III
                                          - M1",Lunar,Planetary Observation,https://www.isro.gov.in/Chandrayaan_2.html,unknown,"Jul 22,2019","GSLV-Mk
                                          III
                                          - M1 / Chandrayaan-2 Mission"
RISAT-2B,2019-05-22,PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",https://www.isro.gov.in/RISAT_2B.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC46/PSLV-C46RISAT2Blaunchkit.pdf,unknown,PSLV-C46 Mission
EMISAT,2019-04-01,PSLV-C45,SSPO (Sun Synchronous Polar Orbit),unknown,https://www.isro.gov.in/EMISAT.html,unknown,unknown,"PSLV-C45/EMISAT
                                          MISSION"
GSAT-31,2019-02-06,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,https://www.isro.gov.in/GSAT31.html,https://www.isro.gov.in/media_isro/pdf/GSAT-31Brochure.pdf,"Back to ISRO Timeline
Feb 06, 2019",Ariane-5 VA-247
Microsat-R,2019-01-24,PSLV-C44,SSPO (Sun Synchronous Polar Orbit),unknown,https://www.isro.gov.in/Microsat_R.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV_C44_Broucher.pdf,"Microsat-R, an imaging satellite was successfully injected into intended orbit of
                                        274 km by PSLV-C44 on January 24, 2019",PSLV-C44
GSAT-7A,2018-12-19,GSLV-F11,unknown,Communication,https://www.isro.gov.in/GSAT_7A.html,unknown,"Dec 19, 2018
GSAT-7A is the 35th Indian Communication satellite built by ISRO. GSAT-7A
                                        Spacecraft is configured on ISRO’s standard I-2000 Kg (I-2K) Bus. The
                                        Satellite is built to provide communication capability to the users in
                                        Ku-band over the Indian region.","GSLV-F11 /
                                          GSAT-7A Mission"
GSAT-11 Mission,2018-12-05,Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,https://www.isro.gov.in/GSAT_11.html,https://www.isro.gov.in/media_isro/pdf/GSAT-11%20Brochure.pdf,"Back to ISRO Timeline
Dec 05, 2018",Ariane-5 VA-246
HysIS,2018-11-29,PSLV-C43,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/HysIS.html,https://www.isro.gov.in/media_isro/pdf/PSLV_C43_HysIS_Brochure.pdf,unknown,"PSLV-C43 /
                                          HysIS Mission"
GSAT-29,2018-11-14,"GSLV Mk
                                          III-D2",GTO (Geosynchronous Transfer Orbit),Communication,https://www.isro.gov.in/GSAT_29.html,https://www.isro.gov.in/media_isro/image/media/Missions/GSLV-MK/GSAT29/more/pdf/GSLV%20Mk%20III%20-%20D2%20.pdf,"Nov 14,2018","GSLV Mk
                                          III-D2 / GSAT-29 Mission"
IRNSS-1I,2018-04-12,PSLV-C41,GSO (Geosynchronous Orbit),Navigation,https://www.isro.gov.in/IRNSS_1I.html,unknown,unknown,PSLV-C41/IRNSS-1I
GSAT-6A,2018-03-29,GSLV-F08,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_6A.html,unknown,"Mar 29, 2018","GSLV-F08/GSAT-6A
                                          Mission"
INS-1C,2018-01-12,PSLV-C40,SSPO (Sun Synchronous Polar Orbit),Experimental,https://www.isro.gov.in/INS_1C.html,unknown,unknown,"PSLV-C40/Cartosat-2
                                          Series Satellite Mission"
Microsat,2018-01-12,PSLV-C40,SSPO (Sun Synchronous Polar Orbit),Experimental,https://www.isro.gov.in/Microsat.html,unknown,unknown,"PSLV-C40/Cartosat-2
                                          Series Satellite Mission"
"Cartosat-2 Series
                                             Satellite",2018-01-12,PSLV-C40,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2_PSLVC40.html,unknown,unknown,"PSLV-C40/Cartosat-2
                                          Series Satellite Mission"
IRNSS-1H,2017-08-31,PSLV-C39,unknown,Navigation,https://www.isro.gov.in/IRNSS_1H.html,unknown,unknown,"PSLV-C39/IRNSS-1H
                                          Mission"
GSAT-1,2017-06-29,Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,https://www.isro.gov.in/GSAT_17.html,unknown,"June 29, 2017Back to ISRO Timeline",Ariane-5 VA-238
"Cartosat-2 Series
                                             Satellite",2017-06-23,PSLV-C38,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2_PSLVC38.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C38.pdf,unknown,"PSLV-C38
                                          / Cartosat-2 Series Satellite"
GSAT-19,2017-06-05,"GSLV Mk
                                          III-D1",GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_19.html,https://www.isro.gov.in/media_isro/image/media/Missions/GSLV-MK/GSAT19/more/pdf/GSLV_Mark_III_D1.pdf,"Jun 05,2017","GSLV Mk
                                          III-D1/GSAT-19 Mission"
GSAT-9,2017-05-05,GSLV-F09,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_9.html,unknown,"May 05, 2017",GSLV-F09 / GSAT-9
Cartosat -2 Series Satellite,2017-02-15,PSLV-C37,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2_PSLVC37.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf,unknown,"PSLV-C37
                                          / Cartosat -2 Series Satellite"
INS-1A,2017-02-15,PSLV-C37,SSPO (Sun Synchronous Polar Orbit),Experimental,https://www.isro.gov.in/INS_1A.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf,unknown,"PSLV-C37
                                          / Cartosat -2 Series Satellite"
INS-1B,2017-02-15,PSLV-C37,SSPO (Sun Synchronous Polar Orbit),Experimental,https://www.isro.gov.in/INS_1B.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf,unknown,"PSLV-C37
                                          / Cartosat -2 Series Satellite"
RESOURCESAT-2A,2016-12-07,PSLV-C36,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/RESOURCESAT_2A.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C36.pdf,unknown,"PSLV-C36 /
                                          RESOURCESAT-2A"
GSAT-18,2016-10-06,Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_18.html,https://www.isro.gov.in/media_isro/pdf/GSAT%2018%20-%20Brochure.pdf,"October 06, 2016Back to ISRO Timeline",Ariane-5 VA-231
SCATSAT-1,2016-09-26,PSLV-C35,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,https://www.isro.gov.in/SCATSAT_1.html,unknown,unknown,"PSLV-C35 /
                                          SCATSAT-1"
INSAT-3DR,2016-09-08,GSLV-F05,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",https://www.isro.gov.in/INSAT_3DR.html,unknown,"Sep 08, 2016","GSLV-F05 /
                                          INSAT-3DR"
"CARTOSAT-2 Series
                                             Satellite",2016-06-22,PSLV-C34,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2_PSLVC34.html,unknown,unknown,"PSLV-C34
                                          / CARTOSAT-2 Series Satellite"
IRNSS-1G,2016-04-28,PSLV-C33,GEO,Navigation,https://www.isro.gov.in/IRNSS_1G.html,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV33/publication_pslv33.pdf,"This is the thirty-fourth consecutively successful
                                        mission of PSLV, repeatedly proving its reliability and versatility.",PSLV-C33/IRNSS-1G
IRNSS-1F,2016-03-10,PSLV-C32,GEO,Navigation,https://www.isro.gov.in/IRNSS_1F.html,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV32/publication_pslv32.pdf,"IRNSS-1F is the sixth navigation satellite of the seven satellites constituting
                                        the Indian Regional Navigation Satellite System (IRNSS) space segment. Its
                                        predecessors, IRNSS-1A, 1B, 1C, 1D and 1E were successfully launched by
                                        PSLV-C22, PSLV-C24, PSLV-C26, PSLV-C27 and PSLV-C31 in July 2013, April 2014,
                                        October 2014, March 2015 and January 2016 respectively. All the five satellites
                                        are functioning satisfactorily from their designated orbital positions.
IRNSS-1F has a lift-off mass of 1425 kg. The configuration of IRNSS-1F is similar
                                    to that of IRNSS-1A, 1B, 1C, 1D and 1E. The two solar arrays of IRNSS-1F
                                    consisting of Ultra Triple Junction solar cells generate about 1660 Watts of
                                    electrical power. Sun and Star sensors as well as gyroscopes provide orientation
                                    reference for the satellite. Special thermal control schemes have been designed
                                    and implemented for some of the critical elements such as atomic clocks. The
                                    Attitude and Orbit Control System (AOCS) of IRNSS-1F maintains the satellite's
                                    orientation with the help of reaction wheels, magnetic torques and thrusters.
                                    Its propulsion system consists of a Liquid Apogee Motor (LAM) and thrusters.
IRNSS -1F carries two types of payloads – navigation payload and ranging payload.
                                    The navigation payload of IRNSS-1F transmits navigation service signals to the
                                    users. This payload is operating in L5-band and S-band. A highly accurate
                                    Rubidium atomic clock is part of the navigation payload of the satellite. The
                                    ranging payload of IRNSS-1F consists of a C-band transponder, which facilitates
                                    accurate determination of the range of the satellite. IRNSS-1F also carries
                                    Corner Cube Retro Reflectors for laser ranging.
IRNSS-1F was launched by PSLV-C32 into a sub Geosynchronous Transfer Orbit (sub
                                    GTO) on March 10, 2016 at 16:01 hrs (IST) from Satish Dhawan Space Centre (SDSC)
                                    SHAR, Sriharikota.",PSLV-C32/IRNSS-1F
IRNSS-1E,2016-01-20,PSLV-C31,GSO (Geosynchronous Orbit),Navigation,https://www.isro.gov.in/IRNSS_1E.html,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV31/publication_PSLV31.pdf,unknown,PSLV-C31/IRNSS-1E
GSAT-15,2015-11-11,Ariane-5 VA-227,GEO,"Communication, Navigation",https://www.isro.gov.in/GSAT_15.html,unknown,"Jul 10, 2015Back to ISRO Timeline",Ariane-5 VA-227
Astrosat,2015-09-28,PSLV-C30,Polar,Space Science,https://www.isro.gov.in/Astrosat_Spacecraft.html,unknown,"AstroSat is India’s first dedicated Space Astronomy Observatory launched into a 650-km, 6° inclination orbit on September 28, 2015, with a lift-off mass of 1515 kg, by PSLV-C30 (XL) rocket from Satish Dhawan Space Centre Sriharikota. AstroSat carries a total of five scientific payloads enabling imaging, studying temporal and spectral properties of galactic and extra- galactic cosmic sources in a wide range of wavelengths on a common platform.
The unique feature of this observatory is its capability for carrying out broad band simultaneous multi-wavelength observation going from far ultra violet to gamma rays. UVIT has the highest angular resolution of 1.5 arc sec which is 3 times better than the next best UV telescope (GALEX-Galaxy evolution explorer) operational today. LAXPC has the highest collecting area in comparison to any other X-ray detector till today. CZTI possesses a unique capability of measuring X-ray polarization and also acts as an open detector beyond 100 keV.
ISRO enabled Indian academic institutions Tata Institute of Fundamental Research (TIFR) Mumbai, Indian Institute of Astrophysics (IIA) Bangalore, Inter University Centre for Astronomy &Astrophysics (IUCAA) Pune and Physical research laboratory (PRL) Ahmedabad","PSLV-C30/AstroSat
                                          MISSION"
GSAT-6,2015-08-27,GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,https://www.isro.gov.in/GSAT_6.html,https://www.isro.gov.in/media_isro/pdf/GSLVD6/publication_gslvd6.pdf,unknown,GSLV-D6
IRNSS-1D,2015-03-28,PSLV-C27,GSO (Geosynchronous Orbit),Navigation,https://www.isro.gov.in/IRNSS_1D.html,unknown,unknown,PSLV-C27/IRNSS-1D
"Crew module Atmospheric Re-entry
                                             Experiment (CARE)",2014-12-18,LVM-3,unknown,Experimental,https://www.isro.gov.in/CARE.html,https://www.isro.gov.in/media_isro/pdf/LVM3-brochure.pdf,"Dec 18,2014","LVM-3/CARE
                                          Mission"
GSAT-16,2014-12-07,Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_16.html,unknown,"Apr 04, 2014Back to ISRO Timeline",Ariane-5 VA-221
IRNSS-1C,2014-10-16,PSLV-C26,GEO,Navigation,https://www.isro.gov.in/IRNSS_1C.html,unknown,unknown,PSLV-C26/IRNSS-1C
IRNSS-1B,2014-04-04,PSLV-C24,GSO (Geosynchronous Orbit),Navigation,https://www.isro.gov.in/IRNSS_1B.html,unknown,unknown,PSLV-C24/IRNSS-1B
GSAT-14,2014-01-05,GSLV-D5,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_14.html,unknown,"Jan 05, 2014",GSLV-D5/GSAT-14
"Mars Orbiter Mission
                                             Spacecraft",2013-11-05,PSLV-C25,Martian,Planetary Observation,https://www.isro.gov.in/MarsOrbiterMissionSpacecraft.html,unknown,"Mars Orbiter Mission (MOM), India's first interplanetary mission to planet Mars was launchedonboard PSLV-C25 on November 05, 2013. ISRO has become the fourth space agency to successfully send a spacecraft to Mars orbit.Though the designed mission life is 6 months, MOM completed 7 years in its orbit on Sept 24, 2021.
The objectives of this mission are primarily technological and include design, realisation and launch of a Mars Orbiter spacecraft capable of operating with sufficient autonomy during the journey phase; Mars orbit insertion / capture and in-orbit phase around Mars.   MOM carries five scientific payloads to study the Martian surface features, morphology, mineralogy and Martian atmosphere.
Mars continues to be an object of keen interest to scientists in the context of planetary evolution and extra-terrestrial life. Based on our understanding of Mars, which was thought to be probably a warm and wet planet earlier, is now seen to be dry with a thin atmosphere. How this evolution has taken place is still a topic of research. In this backdrop, the Indian Mars Orbiter Mission carried the following five scientific payloads:



The main objective of the Mars Colour camera therefore is:
The salient features of this instrument are given below: -


The Primary science objective of this payload is to detect and measure methane concentration in Martian atmosphere (if it does exist) under clear sky conditions.Other studies which are possible are:
The instrument features are given below: -


This spectrometer operates in the thermal infrared (TIR) region (7 micron to 13 micron). TIS has been configured with an un-cooled micro-bolometer array that saves significantly in terms of weight and power when compared to a cooled IR detector. This payload is developed by Space Applications Centre, Ahmedabad.
The instrument features are:


MENCA, a quadrupole mass spectrometer, consists of a filament, detectors and associated electronics system. The detectors being used in MENCA are Channel Electron Multiplier (CEM) and Faraday Cup (FC). A suitable combination of Radio Frequency and DC voltages are applied to the alternate pairs of quadrupole rods to accomplish the mass separation and thereby the determination of partial pressure of species. Also, MENCA has an in-built pressure gauge for the measurement of total pressure. In addition to acquiring the mass spectra in a specified mass range (which can be varied), the instrument has a provision to study the time-evolution of a set of selectable species in the trend mode of operation. The dynamic range of the instrument is in the order of 1010.



Scientific analysis of the data being received from the Mars Orbiter spacecraft is in progress. Scientific Data archived at ISSDC is made available to user communities.",PSLV-C25
GSAT-7,2013-08-30,Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_7.html,unknown,unknown,Ariane-5 VA-215
INSAT-3D,2013-07-26,Ariane-5 VA-214,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",https://www.isro.gov.in/INSAT_3D.html,unknown,Back to ISRO Timeline,Ariane-5 VA-214
IRNSS-1A,2013-07-01,PSLV-C22,GSO (Geosynchronous Orbit),Navigation,https://www.isro.gov.in/IRNSS_1A.html,unknown,unknown,PSLV-C22/IRNSS-1A
SARAL,2013-02-25,PSLV-C20,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",https://www.isro.gov.in/SARAL.html,https://www.isro.gov.in/media_isro/pdf/Missions/publication_PSLVC20.pdf,unknown,PSLV-C20/SARAL
GSAT-10,2012-09-29,Ariane-5 VA-209,GEO,"Communication, Navigation",https://www.isro.gov.in/GSAT_10.html,unknown,Back to ISRO Timeline,Ariane-5 VA-209
RISAT-1,2012-04-26,PSLV-C19,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/RISAT_1.html,https://www.isro.gov.in/media_isro/pdf/Missions/publication_PSLVC19.pdf,unknown,PSLV-C19/RISAT-1
Megha-Tropiques,2011-10-12,PSLV-C18,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",https://www.isro.gov.in/Megha_Tropiques.html,https://www.isro.gov.in/media_isro/pdf/PSLVC18/publication.pdf,unknown,PSLV-C18/Megha-Tropiques
GSAT-12,2011-07-15,PSLV-C17,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_12.html,https://www.isro.gov.in/media_isro/pdf/PSLVC17/publication_pslvc17.pdf,unknown,PSLV-C17/GSAT-12
GSAT-8,2011-05-21,Ariane-5 VA-202,GEO,"Communication, Navigation",https://www.isro.gov.in/GSAT_8.html,unknown,Back to ISRO Timeline,Ariane-5 VA-202
RESOURCESAT-2,2011-04-20,PSLV-C16,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/RESOURCESAT_2.html,https://www.isro.gov.in/media_isro/pdf/PSLVC16/publication_pslvc16.pdf,unknown,PSLV-C16/RESOURCESAT-2
YOUTHSAT,2011-04-20,PSLV-C16,SSPO (Sun Synchronous Polar Orbit),Student Satellite,https://www.isro.gov.in/YOUTHSAT.html,https://www.isro.gov.in/media_isro/pdf/PSLVC16/publication_pslvc16.pdf,unknown,PSLV-C16/RESOURCESAT-2
GSAT-5P,2010-12-25,GSLV-F06,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_5P.html,https://www.isro.gov.in/media_isro/pdf/GSLVF06/publication_gslvf06.pdf,"Dec 25, 2010","GSLV-F06 /
                                          GSAT-5P"
CARTOSAT-2B,2010-07-12,PSLV-C15,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2B.html,https://www.isro.gov.in/media_isro/pdf/PSLVC15/pslvc15_brochr.pdf,unknown,PSLV-C15/CARTOSAT-2B
GSAT-4,2010-04-15,GSLV-D3,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_4.html,unknown,"Apr 15, 2010",GSLV-D3 / GSAT-4
Oceansat-2,2009-09-23,PSLV-C14,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",https://www.isro.gov.in/Oceansat_2.html,https://www.isro.gov.in/media_isro/pdf/PSLVC14/pslvc14_brochr.pdf,unknown,"PSLV-C14 /
                                          OCEANSAT-2"
RISAT-2,2009-04-20,PSLV-C12,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/RISAT_2.html,unknown,unknown,"PSLV-C12 /
                                          RISAT-2"
Chandrayaan-1,2008-10-22,PSLV-C11,Lunar,Planetary Observation,https://www.isro.gov.in/Chandrayaan_1.html,https://www.isro.gov.in/media_isro/pdf/chandrayaan/PSLV_C11_PUBLICATION.pdf,unknown,PSLV-C11
IMS-1,2008-04-28,PSLV-C9,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IMS_1.html,https://www.isro.gov.in/media_isro/pdf/Cartosat-2A/CARTOSAT_2A_PUBLICATION.pdf,unknown,"PSLV-C9 /
                                          CARTOSAT
                                          – 2A"
"CARTOSAT –
                                             2A",2008-04-28,PSLV-C9,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2A.html,https://www.isro.gov.in/media_isro/pdf/Cartosat-2A/CARTOSAT_2A_PUBLICATION.pdf,unknown,"PSLV-C9 /
                                          CARTOSAT – 2A"
INSAT-4CR,2007-09-02,GSLV-F04,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_4CR.html,https://www.isro.gov.in/media_isro/pdf/Insat-4CR/INSAT_4CR_PUBLICATION.pdf,"Sep 02, 2007","GSLV-F04 /
                                          INSAT-4CR"
INSAT-4B,2007-03-12,Ariane5,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_4B.html,unknown,Back to ISRO Timeline,Ariane5
CARTOSAT-2,2007-01-10,PSLV-C7,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_2.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC7/publication.pdf,unknown,"PSLV-C7 /
                                          CARTOSAT-2 / SRE-1"
SRE-1,2007-01-10,PSLV-C7,SSPO (Sun Synchronous Polar Orbit),Experimental,https://www.isro.gov.in/SRE_1.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC7/publication.pdf,unknown,"PSLV-C7 /
                                          CARTOSAT-2 / SRE-1"
INSAT-4C,2006-07-10,GSLV-F02,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_4C.html,https://www.isro.gov.in/media_isro/pdf/Missions/GSLVF02/GSLV-F02.pdf,"Jul 10, 2006","GSLV-F02 /
                                          INSAT-4C"
INSAT-4A,2005-12-22,Ariane5-V169,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_4A.html,unknown,Back to ISRO Timeline,Ariane5-V169
CARTOSAT-1,2005-05-05,PSLV-C6,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/CARTOSAT_1.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC6/publication.pdf,unknown,PSLV-C6/CARTOSAT-1/HAMSAT
HAMSAT,2005-05-05,PSLV-C6,SSPO (Sun Synchronous Polar Orbit),Communication,https://www.isro.gov.in/HAMSAT.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC6/publication.pdf,unknown,PSLV-C6/CARTOSAT-1/HAMSAT
EDUSAT,2004-09-20,GSLV-F01,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/EDUSAT.html,unknown,"Sep 20, 2004","GSLV-F01 /
                                          EDUSAT (GSAT-3)"
IRS-P6 / RESOURCESAT-1,2003-10-17,PSLV-C5,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/RESOURCESAT_1.html,unknown,unknown,"PSLV-C5
                                          /RESOURCESAT-1"
INSAT-3E,2003-09-28,Ariane5-V162,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_3E.html,unknown,Back to ISRO Timeline,Ariane5-V162
GSAT-2,2003-05-08,GSLV-D2,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_2.html,unknown,"May 08, 2003",GSLV-D2 / GSAT-2
INSAT-3A,2003-04-10,Ariane5-V160,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",https://www.isro.gov.in/INSAT_3A.html,unknown,Back to ISRO Timeline,Ariane5-V160
KALPANA-1,2002-09-12,PSLV-C4,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",https://www.isro.gov.in/KALPANA_1.html,unknown,unknown,"PSLV-C4
                                          /KALPANA-1"
INSAT-3C,2002-01-24,Ariane5-V147,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",https://www.isro.gov.in/INSAT_3C.html,unknown,Back to ISRO Timeline,Ariane5-V147
"The Technology Experiment Satellite
                                             (TES)",2001-10-22,PSLV-C3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/TES.html,unknown,unknown,PSLV-C3 / TES
GSAT-1,2001-04-18,GSLV-D1,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_1.html,unknown,"Apr 18, 2001",GSLV-D1 / GSAT-1
INSAT-3B,2000-03-22,Ariane-5G,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_3B.html,unknown,"Back to ISRO
                                        Timeline",Ariane-5G
Oceansat(IRS-P4),1999-05-26,PSLV-C2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/Oceansat(IRS_P4).html,unknown,unknown,PSLV-C2/IRS-P4
INSAT-2E,1999-04-03,Ariane-42P H10-3,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_2E.html,unknown,Back to ISRO Timeline,Ariane-42P H10-3
IRS-1D,1997-09-29,PSLV-C1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_1D.html,unknown,unknown,PSLV-C1 / IRS-1D
INSAT-2D,1997-06-04,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_2D.html,unknown,Back to ISRO Timeline,Ariane-44L H10-3
IRS-P3,1996-03-21,PSLV-D3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_P3.html,unknown,unknown,PSLV-D3 / IRS-P3
IRS-1C,1995-12-28,Molniya,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_1C.html,unknown,unknown,Molniya
INSAT-2C,1995-12-07,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_2C.html,unknown,unknown,Ariane-44L H10-3
IRS-P2,1994-10-15,PSLV-D2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_P2.html,unknown,"Back to ISRO Timeline
Mission completed during 1997 after serving for 3 years.",PSLV-D2
SROSS-C2,1994-05-04,ASLV-D4,unknown,Experimental,https://www.isro.gov.in/SROSS_C2.html,unknown,"May 05,1994Back to ISRO Timeline",ASLV-D4
IRS-1E,1993-09-20,PSLV-D1,LEO (Low Earth Orbit),Earth Observation,https://www.isro.gov.in/IRS_1E.html,unknown,"Apr 18, 2001Back to ISRO Timeline",PSLV-D1
INSAT-2B,1993-07-23,Ariane-44L H10+,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_2B.html,unknown,Back to ISRO Timeline,Ariane-44L H10+
INSAT-2A,1992-07-10,Ariane-44L H10,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_2A.html,unknown,Back to ISRO Timeline,Ariane-44L H10
SROSS-C,1992-05-20,ASLV-D3,unknown,Experimental,https://www.isro.gov.in/SROSS_C.html,unknown,"May 20,1992Back to ISRO Timeline",ASLV-D3
IRS-1B,1991-08-29,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_1B.html,unknown,"Back to ISRO
                                            Timeline",Vostok
INSAT-1D,1990-06-12,Delta 4925,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_1D.html,unknown,Back to ISRO Timeline,Delta 4925
INSAT-1C,1988-07-22,Ariane-3,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_1C.html,unknown,Back to ISRO Timeline,Ariane-3
SROSS-2,1988-07-13,ASLV-D2,unknown,"Earth Observation, Experimental",https://www.isro.gov.in/SROSS_2.html,unknown,"Jul 13,1988Back to ISRO Timeline",ASLV-D2
IRS-1A,1988-03-17,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,https://www.isro.gov.in/IRS_1A.html,unknown,Back to ISRO Timeline,Vostok
SROSS-1,1987-03-24,ASLV-D1,unknown,Experimental,https://www.isro.gov.in/SROSS_1.html,unknown,"Mar 24,1987Back to ISRO Timeline",ASLV-D1
INSAT-1B,1983-08-30,Shuttle [PAM-D],GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/INSAT_1B.html,unknown,Back to ISRO Timeline,Shuttle [PAM-D]
